City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,severna park,39.0704,-76.5452,5.16,76,100,2.57,US,1737219571
132,huoqiu chengguanzhen,32.3547,116.2939,6.98,22,2,2.76,CN,1737219573
133,port lincoln,-34.7333,135.8667,21.27,70,44,2.91,AU,1737219574
134,poptun,16.3311,-89.4169,25.45,58,22,3.34,GT,1737219575
135,egilsstadir,65.2653,-14.3948,-3.05,100,100,8.23,IS,1737219577
136,nuuk,64.1835,-51.7216,-2.66,68,75,9.26,GL,1737219300
137,vilyuchinsk,52.9306,158.4028,-16.85,84,29,4.2,RU,1737219579
138,marti,22.9475,-80.9203,29.6,49,1,4.96,CU,1737219581
139,ilulissat,69.2167,-51.1,-13.68,76,100,2.45,GL,1737219583
140,crane,31.3974,-102.3501,8.45,42,0,3.54,US,1737219584
141,calama,-22.4667,-68.9333,22.27,18,0,6.17,CL,1737219585
142,fortuna,40.5982,-124.1573,3.51,100,0,3.09,US,1737219586
143,haiku-pauwela,20.9219,-156.3051,21.78,81,20,7.15,US,1737219460
144,gadzhiyevo,69.2551,33.3362,1.87,99,100,8.55,RU,1737219588
145,taoudenni,22.6783,-3.9836,20.75,13,98,2.1,ML,1737219589
146,tanque verde,32.2517,-110.7373,11.24,36,0,1.34,US,1737219401
147,barranca,-10.75,-77.7667,23.82,70,13,5.82,PE,1737219593
148,tsiombe,-25.3,45.4833,25.25,90,97,5.95,MG,1737219595
149,parabel',58.6978,81.4825,-12.94,93,96,4.58,RU,1737219596
150,polyarnyy,69.1989,33.4478,1.77,100,100,8.59,RU,1737219598
151,enewetak,11.3474,162.3373,27.32,75,40,9.49,MH,1737219599
152,lerwick,60.1545,-1.1494,7.7,91,99,2.63,GB,1737219600
153,umba,66.6871,34.3429,2.07,79,97,9.49,RU,1737219601
154,radnevo,42.3,25.9333,2.27,78,1,1.04,BG,1737219602
155,saldanha,-33.0117,17.9442,23.03,77,0,7.18,ZA,1737219367
156,lebu,-37.6167,-73.65,16.53,64,0,7.67,CL,1737219605
157,wad medani,14.4012,33.5199,29.91,25,5,4.67,SD,1737219718
158,mirpur sakro,24.5474,67.6277,18.65,19,0,4.29,PK,1737219719
159,wailua homesteads,22.0669,-159.378,19.53,73,8,3.87,US,1737219720
160,maryville,35.7565,-83.9705,8.42,96,100,0.45,US,1737219555
161,greymouth,-42.4667,171.2,13.33,90,100,2.72,NZ,1737219723
162,kerema,-7.9631,145.7785,25.97,84,100,1.45,PG,1737219724
163,guerrero negro,27.9769,-114.0611,15.27,58,0,5.7,MX,1737219725
164,saint-pierre,-21.3393,55.4781,27.82,65,0,1.54,RE,1737219480
165,mount gambier,-37.8333,140.7667,15.95,56,8,2.26,AU,1737219727
166,baganga,7.5739,126.56,25.35,85,71,2.45,PH,1737219728
167,tezu,27.9167,96.1667,16.24,32,0,1.98,IN,1737219730
168,salinas,36.6777,-121.6555,7.5,87,100,5.14,US,1737219646
169,nyagan,62.1406,65.3936,-12.08,96,80,3.35,RU,1737219734
170,san luis de la loma,17.2706,-100.8939,28.47,51,0,2.14,MX,1737219736
171,capim grosso,-11.3811,-40.0128,31.05,38,9,3.1,BR,1737219740
172,salalah,17.0151,54.0924,21.43,58,0,0.63,OM,1737219741
173,fort riley north,39.1108,-96.8139,-8.35,66,20,6.69,US,1737219744
174,chegdomyn,51.1167,133.0167,-17.09,99,100,0.33,RU,1737219747
175,kandahar,31.0,65.75,4.18,90,100,3.66,AF,1737219748
176,corner brook,48.9667,-57.9484,-1.19,69,50,3.74,CA,1737219608
177,hailin,44.5833,129.4167,-15.35,96,11,0.98,CN,1737219755
178,mount pearl,47.5166,-52.7813,-0.93,82,24,2.24,CA,1737219787
179,kailua-kona,19.6406,-155.9956,19.77,76,0,0.89,US,1737219790
180,sao miguel do araguaia,-13.275,-50.1628,27.86,73,100,1.25,BR,1737219716
181,afaahiti,-17.75,-149.2833,26.22,79,100,4.74,PF,1737219797
182,mchinji,-13.7984,32.8802,22.0,75,100,1.32,MW,1737219798
183,port saint john's,-31.6229,29.5448,25.67,87,0,6.28,ZA,1737219799
184,punta arenas,-53.15,-70.9167,16.06,51,0,14.4,CL,1737219697
185,tvoroyri,61.5556,-6.8111,8.7,94,100,13.63,FO,1737219808
186,diamantino,-14.4086,-56.4461,25.93,81,100,1.82,BR,1737219810
187,mount isa,-20.7333,139.5,23.87,19,0,0.0,AU,1737219813
188,jamestown,42.097,-79.2353,2.23,97,100,4.63,US,1737219691
189,cabo san lucas,22.8909,-109.9124,22.09,58,0,3.09,MX,1737219816
190,sodra sandby,56.5667,16.6167,4.38,92,69,3.71,SE,1737219817
191,hobyo,5.3505,48.5268,23.93,72,85,8.31,SO,1737219818
192,goure,13.9835,10.2704,29.35,14,21,4.28,NE,1737219821
193,colonia,50.9333,6.95,2.2,83,0,2.06,DE,1737219816
194,geraldton,-28.7667,114.6,23.23,60,100,7.72,AU,1737219825
195,hermanus,-34.4187,19.2345,22.11,68,0,2.59,ZA,1737219826
196,broome,42.2506,-75.833,1.96,79,100,4.47,US,1737219830
197,menaka,15.9182,2.4022,31.16,11,51,3.34,ML,1737219831
198,zhangjiakou,40.81,114.8794,-5.32,53,40,2.96,CN,1737219835
199,papatowai,-46.5619,169.4708,10.25,91,100,3.85,NZ,1737219836
200,gobabis,-22.45,18.9667,32.04,11,17,4.75,NA,1737219837
201,kolokani,13.5728,-8.0339,30.58,11,82,3.81,ML,1737219838
202,muravlenko,63.7898,74.523,-13.12,94,99,7.44,RU,1737219839
203,qianzhou,28.3167,109.7167,8.53,60,7,0.53,CN,1737219841
204,ivdel',60.6911,60.4206,-7.97,96,100,1.71,RU,1737219843
205,terekli-mekteb,44.1671,45.8698,3.18,88,100,5.37,RU,1737219846
206,valparaiso,-33.0393,-71.6273,22.48,46,0,6.17,CL,1737219603
207,atafu village,-8.5421,-172.5159,27.96,76,36,5.36,TK,1737219851
208,okha,53.5739,142.9478,-17.66,93,97,2.67,RU,1737219853
209,tazacorte,28.629,-17.9293,20.54,80,20,4.63,ES,1737219854
210,todos santos,23.45,-110.2167,18.02,71,67,3.78,MX,1737219855
211,eyl,7.9803,49.8164,23.04,69,100,9.34,SO,1737219741
212,la'ie,21.6477,-157.9253,21.73,70,4,0.89,US,1737219858
213,san pedro pochutla,15.7333,-96.4667,30.95,42,0,3.11,MX,1737219859
214,newman,37.3138,-121.0208,8.41,71,31,1.16,US,1737219860
215,malango,-2.9627,119.9001,19.99,97,100,0.92,ID,1737219861
216,mitu,1.1983,-70.1733,33.13,30,48,2.34,CO,1737219862
217,plaza huincul,-38.926,-69.2086,28.11,13,0,2.97,AR,1737219863
218,saiha,22.4833,92.9667,14.54,60,3,1.66,IN,1737219865
219,palikir - national government center,6.9248,158.1611,27.64,74,99,8.38,FM,1737219866
220,galveston,29.3669,-94.9669,18.88,52,89,2.68,US,1737219867
221,guaranda,-1.6,-79.0,15.83,81,61,2.61,EC,1737219868
222,itapeva,-23.9822,-48.8756,24.2,88,100,5.7,BR,1737219869
223,laguna,38.421,-121.4238,3.08,100,100,2.06,US,1737219870
224,montecristo,8.2971,-74.4733,32.34,51,1,1.67,CO,1737219872
225,baoqing,46.3317,132.2111,-14.5,91,11,2.62,CN,1737219873
226,sos'va,59.1766,61.8558,-9.76,91,99,3.37,RU,1737219874
227,primero de mayo,-32.2552,-58.4228,34.34,29,26,2.01,AR,1737219875
228,ziro,27.6333,93.8333,4.86,86,4,0.73,IN,1737219876
229,santanyi,39.3546,3.1291,12.0,63,100,9.36,ES,1737219877
230,maragogi,-9.0122,-35.2225,28.12,65,99,4.55,BR,1737219660
231,port blair,11.6667,92.75,27.02,74,20,3.09,IN,1737219627
232,vila franca do campo,37.7167,-25.4333,18.23,74,57,1.29,PT,1737219881
233,badger,64.8,-147.5333,-17.86,83,0,0.0,US,1737219882
